업체명,업체구분,도시,위도,경도
미산분교캠핑장,숙박지,인제군,37.87105658,128.3182
하얀여울캠프,숙박지,영월군,37.34028551,128.2806
카리스펜션,숙박지,강릉시,37.85730937,128.8528
슬로우캠프,숙박지,영월군,37.34616675,128.1949
금방아 민박 캠핑장,숙박지,영월군,37.31786034,128.2604
사람과자연펜션,숙박지,영월군,37.29350941,128.333
비안단테 펜션,숙박지,춘천시,37.9025002,127.7002
청호정펜션,숙박지,영월군,37.19196437,128.4295
러브팩토리펜션&캠핑장,숙박지,정선군,37.31958789,128.6797
양양해피플레이스,숙박지,양양군,38.14120923,128.5728
해피플레이스애견비치,관광지,양양군,38.00446935,128.7323
해피리버펜션,숙박지,춘천시,37.6828358,127.6497
신나개 애견펜션,숙박지,삼척시,37.38188252,129.2434
오크카운티펜션,숙박지,원주시,37.41347341,127.8041
강이네하우스,숙박지,양양군,38.06692416,128.5834
펜션아이리스,숙박지,홍천군,37.62156995,127.6751
곰앤패들보드캠핑장,숙박지,강릉시,37.81494301,128.8953
학조리샘말펜션,숙박지,양구군,38.06830865,127.9792
캠핑올라,숙박지,영월군,37.21926827,128.2778
아름다운집,숙박지,춘천시,37.82891519,127.6029
하얀멍이 애견펜션,숙박지,양양군,38.08286387,128.5723
별비내리는마을펜션,숙박지,철원군,38.2079295,127.2707
학마을캠핑장,숙박지,철원군,38.23609437,127.2211
조양펜션,숙박지,속초시,38.18818533,128.6026
엘페로애견펜션,숙박지,홍천군,37.62483522,127.6632
하이하늘펜션,숙박지,정선군,37.22169061,128.8628
더퍼피즈블루오션,숙박지,양양군,38.14196164,128.6125
하이봉자,숙박지,원주시,37.3759722,127.999
블루앤펫,숙박지,강릉시,37.79631596,128.9172
나인원펜션,숙박지,강릉시,37.80251456,128.8705
도그밀리,숙박지,평창군,37.47814652,128.2733
아담하우스,숙박지,양양군,38.11793029,128.6298
방태산솔마루오토캠핑장,숙박지,인제군,37.93937549,128.3815
반디하우스,숙박지,인제군,37.87627874,128.2716
영월키즈캠핑장(힐링캠프),숙박지,영월군,37.36410794,128.2734
하늘풍경펜션,숙박지,춘천시,37.79320361,127.626
화천써비스펜션,숙박지,화천군,38.06216819,127.6983
경포도도애견펜션,숙박지,강릉시,37.80811754,128.8857
프로방스 펜션,숙박지,정선군,37.24513849,128.7606
가을동화펜션,숙박지,평창군,37.62729821,128.3519
힐링하시개,숙박지,평창군,37.58625753,128.3082
해피몽펜션,숙박지,강릉시,37.7563505,128.7943
봄여름가을겨울,숙박지,평창군,37.55847468,128.3893
그랑샤리오,숙박지,평창군,37.47864698,128.273
정선황토펜션,숙박지,정선군,37.37525603,128.646
락있수다펜션,숙박지,정선군,37.28984089,128.8403
라비앙펜션,숙박지,평창군,37.62054783,128.3501
큐브존캠핑&펜션,숙박지,영월군,37.23187464,128.3472
꿈엔들캠프,숙박지,영월군,37.3428711,128.281
숲속의 정원,숙박지,고성군,38.30652792,128.4897
봉쥬르펜션,숙박지,평창군,37.57500478,128.354
한반도캠핑장,숙박지,영월군,37.2152567,128.3562
러빙네이쳐 캠핑장,숙박지,인제군,38.00149385,128.1157
대박이하우스,숙박지,평창군,37.55602399,128.3166
황토민박펜션,숙박지,동해시,37.50874203,129.0957
월드니스 오토 캠핑장,숙박지,영월군,37.29993249,128.2207
몬띠마르펜션,숙박지,양양군,38.11898823,128.5706
평창듀오애견수영장계곡펜션,숙박지,평창군,37.47929352,128.2737
비안단테펜션 원주점,숙박지,원주시,37.18084166,127.758
나디아민박,숙박지,삼척시,37.38503009,129.2422
유알컬처파크,관광지,원주시,37.35851945,127.8023
유알풀빌라펜션,숙박지,원주시,37.35812207,127.8
메이플펜션,숙박지,정선군,37.2454475,128.7613
멍비치,관광지,양양군,37.95332631,128.7729
강촌잠빌펜션,숙박지,춘천시,37.79759514,127.6392
정암해수욕장,관광지,양양군,38.14030207,128.6142
발렌타인애견펜션,숙박지,양양군,38.04593739,128.6149
아쇼카펜션,숙박지,양양군,38.05139985,128.6885
쏠리오,숙박지,춘천시,37.84439791,127.5422
펜션 숲속하얀뜰,숙박지,평창군,37.57531188,128.3535
오핑펜션,숙박지,양양군,38.12807794,128.6243
영월캠프,숙박지,영월군,37.36214886,128.2772
아침에새소리,숙박지,평창군,37.61691602,128.3421
월드니스 글램핑장,숙박지,영월군,37.30076708,128.2214
펜션지아니,숙박지,강릉시,37.6859321,129.0343
파인트리 캠핑장,숙박지,정선군,37.31613816,128.6937
수한예,숙박지,춘천시,37.90500504,127.7537
까사초당,숙박지,강릉시,37.78718309,128.9135
프렌즈애견펜션,숙박지,강릉시,37.81174613,128.8805
또바기콘도펜션,숙박지,정선군,37.2636234,128.7966
보노펜션,숙박지,양양군,38.05352174,128.6865
화이트샌드펜션,숙박지,양양군,37.97200617,128.7619
다사랑 펜션,숙박지,삼척시,37.2864561,129.3006
빈티지하우스펜션,숙박지,양양군,38.07796647,128.6715
설악비치펜션,숙박지,양양군,38.12933371,128.6229
서퍼스파라다이스 STAY,숙박지,양양군,37.96967041,128.7616
보리네민박,숙박지,인제군,38.00382384,128.2271
딜라이트펜션,숙박지,양양군,38.05310302,128.6844
망상파란펜션,숙박지,동해시,37.59129464,129.0885
정관루,숙박지,춘천시,37.79012495,127.5261
남이섬,관광지,춘천시,37.79012495,127.5261
투개더파크,관광지,춘천시,37.7902318,127.5263
아들바위공원,관광지,강릉시,37.90588059,128.8301
소양강댐,관광지,춘천시,37.94747984,127.813
춘천 물레길,관광지,춘천시,37.85496429,127.6858
헤이춘천,숙박지,춘천시,37.86535614,127.7322
경강 레일바이크,관광지,춘천시,37.84274539,127.5509
춘천댐,관광지,춘천시,37.96558831,127.6399
공지천공원,관광지,춘천시,37.87518262,127.7095
물길로(의암호 킹카누),관광지,춘천시,37.85579048,127.6854
춘천의암호스카이워크,관광지,춘천시,37.84684571,127.6807
노아스펜션,숙박지,춘천시,37.82272894,127.615
김유정역 폐역,관광지,춘천시,37.81948621,127.7165
리버윅펜션,숙박지,춘천시,37.8286875,127.6044
춘천숲자연휴양림캠핑장,숙박지,춘천시,37.74773175,127.7425
막동계곡,관광지,평창군,37.53593302,128.566
장전계곡,관광지,평창군,37.47730215,128.5418
라마다호텔&스위트평창,숙박지,평창군,37.66003633,128.718
북극곰 야영장,숙박지,평창군,37.63763451,128.3388
샬레리조트,숙박지,평창군,37.57578605,128.3491
보물섬캠핑장,숙박지,평창군,37.55262093,128.3917
순수양떼목장,관광지,평창군,37.65885258,128.7198
허브나라농원,관광지,평창군,37.63580936,128.3427
대관령눈꽃축제,관광지,평창군,37.67223639,128.7096
평창 송어축제,관광지,평창군,37.63321778,128.557
국민의숲,관광지,평창군,37.68842511,128.7457
횡성호수길5구간,관광지,횡성군,37.54555631,128.067
요선암 요선정,관광지,영월군,37.29727759,128.2619
영월 스카이펜션&캠핑장,숙박지,영월군,37.3353952,128.2823
별빛반려견 놀이터,관광지,영월군,37.1865875,128.4045
젊은달와이파크,관광지,영월군,37.27400332,128.2692
펫힐링달빛동물원,관광지,영월군,37.1745754,128.4018
남강캠프,숙박지,영월군,37.34996603,128.2802
산여울 캠핑장,숙박지,영월군,37.37706961,128.2718
여울소리 오토 캠핑장,숙박지,영월군,37.29335475,128.2688
한반도 솔숲쉼터,숙박지,영월군,37.25103487,128.3687
휘바핀란드,관광지,홍천군,37.66899802,127.6585
신영펜션,숙박지,홍천군,37.62763914,127.6672
세계평화의종공원,관광지,화천군,38.21061647,127.8518
국제평화아트파크,관광지,화천군,38.21098594,127.851
동구래마을,관광지,화천군,38.04096634,127.6639
꺼먹다리,관광지,화천군,38.10663593,127.7624
붕어섬,관광지,화천군,38.09715494,127.6937
아를테마수목원,관광지,화천군,38.07199798,127.6886
서오지리 연꽃단지,관광지,화천군,38.04164244,127.6543
평화의댐오토캠핑장,숙박지,화천군,38.20652873,127.8501
국립화천숲속야영장,숙박지,화천군,38.01030672,127.7976
아폴로천문대펜션,숙박지,화천군,38.10805373,127.4436
은하수교,관광지,철원군,38.19977388,127.2775
직탕폭포,관광지,철원군,38.2092574,127.2654
노동당사,관광지,철원군,38.25520176,127.202
고석정,관광지,철원군,38.18542141,127.2874
가산농원캠핑장,숙박지,철원군,38.22409963,127.2657
마운틴밸리펜션,숙박지,철원군,38.15224046,127.2043
케렌시아펜션,숙박지,철원군,38.18290052,127.2764
라이프위드도그,숙박지,인제군,38.00156001,128.2317
평화의 댐,관광지,화천군,38.21366506,127.8462
양구꽃섬,관광지,양구군,38.11469506,127.9848
한반도섬 자연습지,관광지,양구군,38.1306367,127.9828
논골담길,관광지,동해시,37.55216582,129.1183
망상해변,관광지,동해시,37.59225327,129.0897
대진해수욕장,관광지,동해시,37.58149301,129.1092
추암조각공원,관광지,동해시,37.47991814,129.1569
추암촛대바위,관광지,동해시,37.47899434,129.1586
묵호등대,관광지,동해시,37.55384198,129.1182
올리브펜션,숙박지,동해시,37.57391445,129.1167
동쪽바다프리미엄하우스(카페앤라씨),숙박지,동해시,37.58017422,129.1131
너랑온펜션,숙박지,동해시,37.59091793,129.0893
망상파크펜션,숙박지,동해시,37.59117725,129.0886
추암해변,관광지,동해시,37.47725691,129.1592
요선암 돌개구멍,관광지,영월군,37.29727759,128.2619
정선 병방치 스카이워크,관광지,정선군,37.36235936,128.6354
정선 레일바이크,관광지,정선군,37.5170461,128.7304
삼척 장미공원,관광지,삼척시,37.43347057,129.1767
덕산해변,관광지,삼척시,37.38622893,129.24
맹방해변,관광지,삼척시,37.38975176,129.232
장호항,관광지,삼척시,37.28643781,129.3179
삼척 미로(未老)정원,관광지,삼척시,37.44403349,129.0712
삼척해양레일바이크,관광지,삼척시,37.32364924,129.2664
장호비치캠핑장,숙박지,삼척시,37.28456,129.3124
메이힐스리조트,숙박지,정선군,37.21146751,128.8353
EST펜션,숙박지,속초시,38.21650162,128.5954
아바이마을,관광지,속초시,38.20061796,128.5948
바다향기펜션,숙박지,속초시,38.17869301,128.6041
설악해맞이공원,관광지,속초시,38.16315084,128.6085
청초호 호수공원,관광지,속초시,38.19192935,128.5865
영금정,관광지,속초시,38.2118456,128.6014
등대해수욕장,관광지,속초시,38.21360489,128.6006
사천진항,관광지,강릉시,37.83654014,128.8783
순긋해변,관광지,강릉시,37.81675944,128.8931
강릉커피거리,관광지,강릉시,37.77257827,128.9473
경포해변,관광지,강릉시,37.80567878,128.9074
모래시계공원,관광지,강릉시,37.68699969,129.0382
정동진,관광지,강릉시,37.69471431,129.0109
순포해변,관광지,강릉시,37.82284256,128.886
강릉항,관광지,강릉시,37.7713846,128.9517
사천해변,관광지,강릉시,37.82915762,128.8778
송정해변,관광지,강릉시,37.77679581,128.9372
영진해변,관광지,강릉시,37.86895106,128.845
주문진해변,관광지,강릉시,37.91013153,128.8177
월화거리,관광지,강릉시,37.75414048,128.8997
하슬라아트월드,관광지,강릉시,37.70545629,129.0078
주문진항,관광지,강릉시,37.89191073,128.8302
안인항,관광지,강릉시,37.73609022,128.9886
하평해변,관광지,강릉시,37.84414459,128.872
영진항,관광지,강릉시,37.86801257,128.8479
강문솟대다리,관광지,강릉시,37.79777324,128.9167
강문해변,관광지,강릉시,37.79475498,128.9189
안목해변,관광지,강릉시,37.77365175,128.946
사근진해변,관광지,강릉시,37.81250898,128.8983
세인트존스호텔,숙박지,강릉시,37.79128075,128.9209
세인트존스호텔 파인풀,관광지,강릉시,37.79128075,128.9209
소돌해변,관광지,강릉시,37.90680516,128.8267
남애항 스카이워크 전망대,관광지,양양군,37.94484473,128.7885
죽도정,관광지,양양군,37.97134592,128.7627
죽도해수욕장,관광지,양양군,37.97215912,128.7617
남애항,관광지,양양군,37.94492468,128.7871
낙산해수욕장,관광지,양양군,38.11692058,128.6339
남애3리해수욕장,관광지,양양군,37.94595038,128.7839
설악해수욕장,관광지,양양군,38.12420744,128.63
휴휴암,관광지,양양군,37.96106629,128.7674
지경리해수욕장,관광지,양양군,37.9239813,128.7993
양양캠핑장 어성전계곡야영장,숙박지,양양군,37.94716181,128.6634
하조대전망대,관광지,양양군,38.02181654,128.7284
하조대해수욕장,관광지,양양군,38.02295226,128.7251
하조대아름들펜션,숙박지,양양군,38.00799846,128.6917
신원비엔빌,숙박지,양양군,38.05352114,128.6828
아름다운바다콘도텔,숙박지,양양군,38.15569302,128.6089
숲속의집,숙박지,양양군,37.93192757,128.6748
명파해변,관광지,고성군,38.54353862,128.4054
아야진 해변,관광지,고성군,38.27651142,128.5528
화진포의 성 김일성 별장,관광지,고성군,38.47250515,128.4431
DMZ박물관,관광지,고성군,38.57624688,128.3825
통일전망대,관광지,고성군,38.51438609,128.4167
영원산성,관광지,원주시,37.30548316,128.0309
행구수변공원,관광지,원주시,37.34238325,127.9967
간현관광지,관광지,원주시,37.36457641,127.834
솔치송어파티펜션,숙박지,원주시,37.26869471,128.1999
탑스텐 리조트 동강시스타,숙박지,영월군,37.21776152,128.5187
강아지숲 테마파크,관광지,춘천시,37.73643502,127.662
SL호텔 강릉,숙박지,강릉시,37.88915566,128.8254
힐링캠프 애견동반 펜션,숙박지,삼척시,37.28871618,129.3027
로뎀나무 펜션,숙박지,강릉시,37.81182006,128.898
정원가든 애견동반펜션,숙박지,삼척시,37.28057338,129.2965
꽃내음펜션,숙박지,삼척시,37.28355509,129.2976
그린향펜션,숙박지,삼척시,37.28548241,129.2996
설악의정원,숙박지,고성군,38.21458163,128.5174
파인힐 애견펜션,숙박지,강릉시,37.86920213,128.8316
서피비치,관광지,양양군,38.02775348,128.7175
옥산가(옥광산),관광지,춘천시,37.92005546,127.8053
민둥산,관광지,정선군,37.25025999,128.7817
아우라지,관광지,정선군,37.47712868,128.7221
휘닉스평창리조트,숙박지,평창군,37.58246341,128.3269
물무리골생태습지,관광지,영월군,37.19724469,128.4502
선돌,관광지,영월군,37.20557108,128.4341
한반도지형,관광지,영월군,37.22256105,128.3469
인제빙어축제,관광지,인제군,37.99774745,128.0985
소노펫클럽앤리조트,숙박지,홍천군,37.65233706,127.6873
하늘길,관광지,정선군,37.17423577,128.8426
하이원리조트,숙박지,정선군,37.20721956,128.8368
힐리언스 선마을,숙박지,홍천군,37.65154223,127.6303
바다와펜션,숙박지,강릉시,37.84538858,128.8693
월드스카이호텔,숙박지,속초시,38.20113028,128.5865
해마루 펜션,숙박지,삼척시,37.28502643,129.3127
드라마 도깨비 촬영지,관광지,강릉시,37.87955118,128.8336
명파해변 오토캠핑장,숙박지,고성군,38.54342995,128.4054
반계리 은행나무,관광지,원주시,37.29420807,127.7884
사근진해중공원 전망대,관광지,강릉시,37.81272232,128.8989
속초 관광수산시장,관광지,속초시,38.2039889,128.5906
아라리공원,관광지,정선군,37.3791473,128.6667
아름들 반려견쉼터,관광지,원주시,37.29566456,127.9251
파로호 하트섬,관광지,화천군,38.064636,127.7952